Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrely,F_vinc,Tension,Lift,Drag,Stability
1000000, 100.00, 100.00, 12.00, 2.36, 1.68, 0.00, -13.23, -30.00, 0.00, -13.23, -0.00, 16.77, -0.00, 215.38, 770.45, 775.42, 86.16, 1
1000000, 100.00, 100.00, 12.00, 2.36, 1.68, 0.00, -15.23, -32.00, 0.00, -15.23, -0.00, 16.77, -0.00, 215.38, 770.45, 775.43, 86.16, 1
1000000, 100.00, 100.00, 12.00, 2.36, 1.68, 0.00, -17.23, -34.00, 0.00, -17.23, -0.00, 16.77, -0.00, 215.38, 770.45, 775.43, 86.16, 1
1000000, 100.00, 100.00, 12.00, 2.36, 1.68, 0.00, -19.23, -36.00, 0.00, -19.23, -0.00, 16.77, -0.00, 215.38, 770.45, 775.43, 86.16, 1
1000000, 100.00, 100.00, 12.00, 2.36, 1.68, 0.00, -21.23, -38.00, 0.00, -21.23, -0.00, 16.77, -0.00, 215.38, 770.46, 775.43, 86.16, 1
1000000, 100.00, 100.00, 12.00, 2.36, 1.68, 0.00, -23.23, -40.00, 0.00, -23.23, -0.00, 16.77, -0.00, 215.37, 770.46, 775.44, 86.16, 1
88301, 8.83, 100.00, 14.00, 2.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.00, 75.90, 75.41, 9.80, 0
1000000, 100.00, 100.00, 14.00, 2.36, 2.36, 0.00, -0.00, -2.00, 0.00, 5.76, 5.76, 7.76, 5.76, 783.35, 279.33, 286.19, 37.20, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.73, 0.00, 0.00, -4.00, 0.00, 0.00, -0.00, 4.00, -0.00, 941.81, 39.70, 49.00, 6.37, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.71, 0.00, 0.00, -6.00, 0.00, 0.00, -0.00, 6.00, -0.00, 880.56, 101.46, 110.25, 14.33, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.71, 0.00, -0.00, -8.00, 0.00, 0.00, -0.00, 8.00, -0.00, 794.81, 187.93, 196.00, 25.48, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.70, 0.00, -0.00, -10.00, 0.00, 0.00, -0.00, 10.00, -0.00, 684.56, 299.10, 306.25, 39.81, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.70, 0.00, 0.00, -12.00, 0.00, 0.00, -0.00, 12.00, -0.00, 549.81, 434.98, 441.00, 57.33, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.70, 0.00, 0.00, -14.00, 0.00, 0.00, -0.00, 14.00, -0.00, 390.56, 595.57, 600.25, 78.03, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.70, 0.00, -0.37, -16.00, 0.00, -0.37, -0.00, 15.63, -0.00, 243.03, 744.35, 747.78, 97.21, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.70, 0.00, -2.37, -18.00, 0.00, -2.37, -0.00, 15.63, -0.00, 243.03, 744.35, 747.78, 97.21, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.70, 0.00, -4.37, -20.00, 0.00, -4.37, -0.00, 15.63, -0.00, 243.03, 744.35, 747.78, 97.21, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.70, 0.00, -6.37, -22.00, 0.00, -6.37, -0.00, 15.63, -0.00, 243.03, 744.35, 747.78, 97.21, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.70, 0.00, -8.37, -24.00, 0.00, -8.37, -0.00, 15.63, -0.00, 243.03, 744.35, 747.78, 97.21, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.70, 0.00, -10.37, -26.00, 0.00, -10.37, -0.00, 15.63, -0.00, 243.02, 744.35, 747.78, 97.21, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.70, 0.00, -12.37, -28.00, 0.00, -12.37, -0.00, 15.63, -0.00, 243.02, 744.35, 747.79, 97.21, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.70, 0.00, -14.37, -30.00, 0.00, -14.37, -0.00, 15.63, -0.00, 243.02, 744.35, 747.79, 97.21, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.70, 0.00, -16.37, -32.00, 0.00, -16.37, -0.00, 15.63, -0.00, 243.02, 744.35, 747.79, 97.21, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.70, 0.00, -18.37, -34.00, 0.00, -18.37, -0.00, 15.63, -0.00, 243.02, 744.35, 747.79, 97.21, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.70, 0.00, -20.37, -36.00, 0.00, -20.37, -0.00, 15.63, -0.00, 243.02, 744.36, 747.79, 97.21, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.70, 0.00, -22.37, -38.00, 0.00, -22.37, -0.00, 15.63, -0.00, 243.02, 744.36, 747.79, 97.21, 1
1000000, 100.00, 100.00, 14.00, 2.36, 1.70, 0.00, -24.37, -40.00, 0.00, -24.37, -0.00, 15.63, -0.00, 243.01, 744.36, 747.79, 97.21, 1
102407, 10.24, 100.00, 16.00, 2.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.00, 71.18, 70.82, 9.81, 0
1000000, 100.00, 100.00, 16.00, 2.36, 1.86, 0.00, -0.00, -2.00, 0.00, 0.16, 0.05, 2.16, 0.05, 972.19, 9.20, 18.58, 2.57, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.73, 0.00, -0.00, -4.00, 0.00, -0.00, -0.00, 4.00, -0.00, 927.11, 54.61, 63.70, 8.82, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.72, 0.00, -0.00, -6.00, 0.00, 0.00, -0.00, 6.00, -0.00, 847.48, 134.98, 143.33, 19.85, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -0.00, -8.00, 0.00, 0.00, -0.00, 8.00, -0.00, 736.01, 247.52, 254.80, 35.28, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -0.00, -10.00, 0.00, 0.00, -0.00, 10.00, -0.00, 592.68, 392.21, 398.13, 55.13, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -0.00, -12.00, 0.00, 0.00, -0.00, 12.00, -0.00, 417.51, 569.05, 573.30, 79.38, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -0.40, -14.00, 0.00, -0.40, -0.00, 13.60, -0.00, 254.78, 733.34, 736.03, 101.91, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -2.40, -16.00, 0.00, -2.40, -0.00, 13.60, -0.00, 254.78, 733.34, 736.03, 101.91, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -4.40, -18.00, 0.00, -4.40, -0.00, 13.60, -0.00, 254.78, 733.34, 736.03, 101.91, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -6.40, -20.00, 0.00, -6.40, -0.00, 13.60, -0.00, 254.78, 733.34, 736.03, 101.91, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -8.40, -22.00, 0.00, -8.40, -0.00, 13.60, -0.00, 254.78, 733.34, 736.03, 101.91, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -10.40, -24.00, 0.00, -10.40, -0.00, 13.60, -0.00, 254.78, 733.34, 736.03, 101.91, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -12.40, -26.00, 0.00, -12.40, -0.00, 13.60, -0.00, 254.78, 733.34, 736.03, 101.91, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -14.40, -28.00, 0.00, -14.40, -0.00, 13.60, -0.00, 254.77, 733.34, 736.03, 101.91, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -16.40, -30.00, 0.00, -16.40, -0.00, 13.60, -0.00, 254.77, 733.34, 736.04, 101.91, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -18.40, -32.00, 0.00, -18.40, -0.00, 13.60, -0.00, 254.77, 733.34, 736.04, 101.91, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -20.40, -34.00, 0.00, -20.40, -0.00, 13.60, -0.00, 254.77, 733.34, 736.04, 101.91, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -22.40, -36.00, 0.00, -22.40, -0.00, 13.60, -0.00, 254.77, 733.35, 736.04, 101.91, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -24.40, -38.00, 0.00, -24.40, -0.00, 13.60, -0.00, 254.77, 733.35, 736.04, 101.91, 1
1000000, 100.00, 100.00, 16.00, 2.36, 1.71, 0.00, -26.40, -40.00, 0.00, -26.40, -0.00, 13.60, -0.00, 254.76, 733.35, 736.04, 101.91, 1
106277, 10.63, 100.00, 18.00, 2.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.00, 70.74, 70.41, 9.81, 0
1000000, 100.00, 100.00, 18.00, 2.36, 2.07, 0.00, -0.00, -2.00, 0.00, 3.58, 1.93, 5.58, 1.93, 855.73, 142.32, 149.22, 20.78, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.73, 0.00, -0.00, -4.00, 0.00, -0.00, -0.00, 4.00, -0.00, 922.21, 59.56, 68.60, 9.55, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.72, 0.00, -0.00, -6.00, 0.00, -0.00, -0.00, 6.00, -0.00, 836.46, 146.13, 154.35, 21.50, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, 0.00, -8.00, 0.00, 0.00, -0.00, 8.00, -0.00, 716.41, 267.34, 274.40, 38.22, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, -0.00, -10.00, 0.00, 0.00, -0.00, 10.00, -0.00, 562.06, 423.17, 428.75, 59.72, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, 0.00, -12.00, 0.00, 0.00, -0.00, 12.00, -0.00, 373.41, 613.65, 617.40, 86.00, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, -0.91, -14.00, 0.00, -0.91, -0.00, 13.09, -0.00, 255.90, 732.29, 734.91, 102.36, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, -2.91, -16.00, 0.00, -2.91, -0.00, 13.09, -0.00, 255.90, 732.29, 734.91, 102.36, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, -4.91, -18.00, 0.00, -4.91, -0.00, 13.09, -0.00, 255.90, 732.29, 734.91, 102.36, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, -6.91, -20.00, 0.00, -6.91, -0.00, 13.09, -0.00, 255.90, 732.29, 734.91, 102.36, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, -8.91, -22.00, 0.00, -8.91, -0.00, 13.09, -0.00, 255.90, 732.29, 734.91, 102.36, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, -10.91, -24.00, 0.00, -10.91, -0.00, 13.09, -0.00, 255.90, 732.29, 734.91, 102.36, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, -12.91, -26.00, 0.00, -12.91, -0.00, 13.09, -0.00, 255.90, 732.29, 734.91, 102.36, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, -14.91, -28.00, 0.00, -14.91, -0.00, 13.09, -0.00, 255.90, 732.29, 734.91, 102.36, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, -16.91, -30.00, 0.00, -16.91, -0.00, 13.09, -0.00, 255.90, 732.29, 734.91, 102.36, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, -18.91, -32.00, 0.00, -18.91, -0.00, 13.09, -0.00, 255.90, 732.29, 734.91, 102.36, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, -20.91, -34.00, 0.00, -20.91, -0.00, 13.09, -0.00, 255.90, 732.29, 734.91, 102.36, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, -22.91, -36.00, 0.00, -22.91, -0.00, 13.09, -0.00, 255.89, 732.30, 734.92, 102.36, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, -24.91, -38.00, 0.00, -24.91, -0.00, 13.09, -0.00, 255.89, 732.30, 734.92, 102.36, 1
1000000, 100.00, 100.00, 18.00, 2.36, 1.71, 0.00, -26.91, -40.00, 0.00, -26.91, -0.00, 13.09, -0.00, 255.89, 732.30, 734.92, 102.36, 1
102407, 10.24, 100.00, 19.00, 2.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.00, 71.18, 70.82, 9.81, 0
1000000, 100.00, 100.00, 19.00, 2.36, 1.86, 0.00, -0.00, -2.00, 0.00, 0.16, 0.05, 2.16, 0.05, 972.19, 9.20, 18.58, 2.57, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.73, 0.00, -0.00, -4.00, 0.00, -0.00, -0.00, 4.00, -0.00, 927.11, 54.61, 63.70, 8.82, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.72, 0.00, -0.00, -6.00, 0.00, 0.00, -0.00, 6.00, -0.00, 847.48, 134.98, 143.33, 19.85, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -0.00, -8.00, 0.00, 0.00, -0.00, 8.00, -0.00, 736.01, 247.52, 254.80, 35.28, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -0.00, -10.00, 0.00, 0.00, -0.00, 10.00, -0.00, 592.68, 392.21, 398.13, 55.13, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -0.00, -12.00, 0.00, 0.00, -0.00, 12.00, -0.00, 417.51, 569.05, 573.30, 79.38, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -0.40, -14.00, 0.00, -0.40, -0.00, 13.60, -0.00, 254.78, 733.34, 736.03, 101.91, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -2.40, -16.00, 0.00, -2.40, -0.00, 13.60, -0.00, 254.78, 733.34, 736.03, 101.91, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -4.40, -18.00, 0.00, -4.40, -0.00, 13.60, -0.00, 254.78, 733.34, 736.03, 101.91, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -6.40, -20.00, 0.00, -6.40, -0.00, 13.60, -0.00, 254.78, 733.34, 736.03, 101.91, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -8.40, -22.00, 0.00, -8.40, -0.00, 13.60, -0.00, 254.78, 733.34, 736.03, 101.91, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -10.40, -24.00, 0.00, -10.40, -0.00, 13.60, -0.00, 254.78, 733.34, 736.03, 101.91, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -12.40, -26.00, 0.00, -12.40, -0.00, 13.60, -0.00, 254.78, 733.34, 736.03, 101.91, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -14.40, -28.00, 0.00, -14.40, -0.00, 13.60, -0.00, 254.77, 733.34, 736.03, 101.91, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -16.40, -30.00, 0.00, -16.40, -0.00, 13.60, -0.00, 254.77, 733.34, 736.04, 101.91, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -18.40, -32.00, 0.00, -18.40, -0.00, 13.60, -0.00, 254.77, 733.34, 736.04, 101.91, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -20.40, -34.00, 0.00, -20.40, -0.00, 13.60, -0.00, 254.77, 733.34, 736.04, 101.91, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -22.40, -36.00, 0.00, -22.40, -0.00, 13.60, -0.00, 254.77, 733.35, 736.04, 101.91, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -24.40, -38.00, 0.00, -24.40, -0.00, 13.60, -0.00, 254.77, 733.35, 736.04, 101.91, 1
1000000, 100.00, 100.00, 19.00, 2.36, 1.71, 0.00, -26.40, -40.00, 0.00, -26.40, -0.00, 13.60, -0.00, 254.76, 733.35, 736.04, 101.91, 1
110010, 11.00, 100.00, 20.00, 2.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.00, 51.68, 51.37, 9.81, 0
1000000, 100.00, 100.00, 20.00, 2.36, 3.00, 0.00, 0.00, -2.00, 0.00, 0.12, 0.86, 2.12, 0.86, 979.58, 10.35, 17.59, 3.36, 0
1000000, 100.00, 100.00, 20.00, 2.36, 1.80, 0.00, -0.00, -4.00, 0.00, -0.00, -0.00, 4.00, -0.00, 936.91, 45.27, 53.90, 10.29, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.78, 0.00, -0.00, -6.00, 0.00, -0.00, -0.00, 6.00, -0.00, 869.53, 113.84, 121.27, 23.15, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.77, 0.00, 0.00, -8.00, 0.00, 0.00, -0.00, 8.00, -0.00, 775.21, 209.87, 215.60, 41.16, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.76, 0.00, 0.00, -10.00, 0.00, 0.00, -0.00, 10.00, -0.00, 653.93, 333.33, 336.88, 64.31, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.76, 0.00, -0.00, -12.00, 0.00, 0.00, -0.00, 12.00, -0.00, 505.71, 484.23, 485.10, 92.61, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.76, 0.00, -0.00, -14.00, 0.00, 0.00, -0.00, 14.00, -0.00, 330.53, 662.57, 660.28, 126.05, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.76, 0.00, -1.89, -16.00, 0.00, -1.89, -0.00, 14.11, -0.00, 320.11, 673.18, 670.70, 128.04, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.76, 0.00, -3.89, -18.00, 0.00, -3.89, -0.00, 14.11, -0.00, 320.11, 673.18, 670.70, 128.04, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.76, 0.00, -5.89, -20.00, 0.00, -5.89, -0.00, 14.11, -0.00, 320.11, 673.18, 670.70, 128.04, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.76, 0.00, -7.89, -22.00, 0.00, -7.89, -0.00, 14.11, -0.00, 320.11, 673.18, 670.70, 128.04, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.76, 0.00, -9.89, -24.00, 0.00, -9.89, -0.00, 14.11, -0.00, 320.11, 673.18, 670.70, 128.04, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.76, 0.00, -11.89, -26.00, 0.00, -11.89, -0.00, 14.11, -0.00, 320.11, 673.18, 670.70, 128.04, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.76, 0.00, -13.89, -28.00, 0.00, -13.89, -0.00, 14.11, -0.00, 320.11, 673.18, 670.70, 128.04, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.76, 0.00, -15.89, -30.00, 0.00, -15.89, -0.00, 14.11, -0.00, 320.11, 673.18, 670.70, 128.04, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.76, 0.00, -17.89, -32.00, 0.00, -17.89, -0.00, 14.11, -0.00, 320.11, 673.18, 670.70, 128.04, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.76, 0.00, -19.89, -34.00, 0.00, -19.89, -0.00, 14.11, -0.00, 320.10, 673.18, 670.70, 128.04, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.76, 0.00, -21.89, -36.00, 0.00, -21.89, -0.00, 14.11, -0.00, 320.10, 673.18, 670.71, 128.04, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.76, 0.00, -23.89, -38.00, 0.00, -23.89, -0.00, 14.11, -0.00, 320.10, 673.19, 670.71, 128.04, 1
1000000, 100.00, 100.00, 20.00, 2.36, 1.76, 0.00, -25.89, -40.00, 0.00, -25.89, -0.00, 14.11, -0.00, 320.10, 673.19, 670.71, 128.04, 1
