Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrely,F_vinc,Tension,Lift,Liftx,Liftz,Drag,Dragx,Dragz,Stability
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, -0.00, 15.00, 0.00, -0.00, -0.00,  -15.00, -0.00, 701.40, 279.94, 289.41, -0.00, 289.41, 13.78, 13.78, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 17.00, 0.00, -0.00, -0.00,  -17.00, -0.00, 619.08, 362.35, 371.73, -0.00, 371.73, 17.70, 17.70, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 19.00, 0.00, -0.00, -0.00,  -19.00, -0.00, 526.47, 455.06, 464.34, -0.00, 464.34, 22.11, 22.11, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, -0.00, 21.00, 0.00, -0.00, -0.00,  -21.00, -0.00, 423.57, 558.08, 567.24, -0.00, 567.24, 27.01, 27.01, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 23.00, 0.00, -0.00, -0.00,  -23.00, -0.00, 310.38, 671.40, 680.43, -0.01, 680.43, 32.40, 32.40, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 25.00, 0.00, -0.00, -0.00,  -25.00, -0.00, 186.90, 795.02, 803.91, -0.01, 803.91, 38.28, 38.28, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.76, 27.00, 0.00, 0.76, -0.00,  -26.24, -0.00, 105.38, 876.63, 885.43, -0.01, 885.43, 42.16, 42.16, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 2.76, 29.00, 0.00, 2.76, -0.00,  -26.24, -0.00, 105.38, 876.64, 885.43, -0.01, 885.43, 42.16, 42.16, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, -0.00, 31.00, 0.00, -0.00, -0.00,  -31.00, -0.00, -245.28, 1227.69, 1236.09, -0.02, 1236.09, 58.86, 58.86, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 33.00, 0.00, -0.00, -0.00,  -33.00, -0.00, -409.92, 1392.52, 1400.73, -0.02, 1400.73, 66.70, 66.70, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, -0.00, 35.00, 0.00, -0.00, -0.00,  -35.00, -0.00, -584.85, 1567.65, 1575.66, -0.03, 1575.66, 75.03, 75.03, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, 0.00, 37.00, 0.00, -0.00, -0.00,  -37.00, -0.00, -770.07, 1753.08, 1760.88, -0.03, 1760.88, 83.85, 83.85, 0.00, 1
1000000, 100.00, 100.00, 2.00, 0.79, 1.52, 0.00, -0.00, 39.00, 0.00, -0.00, -0.00,  -39.00, -0.00, -965.58, 1948.81, 1956.39, -0.04, 1956.39, 93.16, 93.16, 0.00, 1
33738, 3.37, 100.00, 4.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00,  -1.00, 0.00, 981.00, 389.80, 384.82, 384.60, -12.89, 20.62, 0.69, 20.60, 0
174032, 17.40, 100.00, 4.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00,  -3.00, 0.00, 981.00, 363.30, 358.45, 358.32, -9.62, 19.20, 0.52, 19.20, 0
1000000, 100.00, 100.00, 4.00, 0.79, 1.50, 0.00, 0.00, 5.00, 0.00, 0.00, -0.00,  -5.00, -0.00, 947.94, 33.14, 42.87, -0.00, 42.87, 2.30, 2.30, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.51, 0.00, -0.00, 7.00, 0.00, -0.00, -0.00,  -7.00, -0.00, 906.77, 74.36, 84.04, -0.00, 84.04, 4.50, 4.50, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.51, 0.00, 0.00, 9.00, 0.00, -0.00, -0.00,  -9.00, -0.00, 851.89, 129.32, 138.92, -0.00, 138.92, 7.44, 7.44, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.51, 0.00, -0.00, 11.00, 0.00, -0.00, -0.00,  -11.00, -0.00, 783.29, 198.02, 207.52, -0.00, 207.52, 11.12, 11.12, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 0.00, 13.00, 0.00, -0.00, -0.00,  -13.00, -0.00, 700.97, 280.46, 289.84, -0.00, 289.84, 15.53, 15.53, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 0.00, 15.00, 0.00, -0.00, -0.00,  -15.00, -0.00, 604.93, 376.63, 385.88, -0.00, 385.88, 20.67, 20.67, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, -0.00, 17.00, 0.00, -0.00, -0.00,  -17.00, -0.00, 495.17, 486.55, 495.64, -0.00, 495.64, 26.55, 26.55, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 0.00, 19.00, 0.00, -0.00, -0.00,  -19.00, -0.00, 371.69, 610.21, 619.12, -0.00, 619.12, 33.17, 33.17, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 0.00, 21.00, 0.00, -0.00, -0.00,  -21.00, -0.00, 234.49, 747.60, 756.32, -0.00, 756.32, 40.52, 40.52, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 0.43, 23.00, 0.00, 0.43, -0.00,  -22.57, -0.00, 117.01, 865.26, 873.80, -0.01, 873.80, 46.81, 46.81, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 2.43, 25.00, 0.00, 2.43, -0.00,  -22.57, -0.00, 117.01, 865.26, 873.80, -0.01, 873.80, 46.81, 46.81, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 4.43, 27.00, 0.00, 4.43, -0.00,  -22.57, -0.00, 117.00, 865.27, 873.81, -0.01, 873.81, 46.81, 46.81, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 6.43, 29.00, 0.00, 6.43, -0.00,  -22.57, -0.00, 117.00, 865.27, 873.81, -0.01, 873.81, 46.81, 46.81, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, -0.00, 31.00, 0.00, -0.00, -0.00,  -31.00, -0.00, -657.31, 1640.68, 1648.12, -0.02, 1648.12, 88.29, 88.29, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 0.00, 33.00, 0.00, -0.00, -0.00,  -33.00, -0.00, -876.83, 1860.52, 1867.64, -0.02, 1867.64, 100.05, 100.05, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 0.00, 35.00, 0.00, -0.00, -0.00,  -35.00, -0.00, -1110.07, 2094.09, 2100.88, -0.03, 2100.88, 112.55, 112.55, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 0.00, 37.00, 0.00, -0.00, -0.00,  -37.00, -0.00, -1357.03, 2341.41, 2347.84, -0.03, 2347.84, 125.78, 125.78, 0.00, 1
1000000, 100.00, 100.00, 4.00, 0.79, 1.52, 0.00, 0.00, 39.00, 0.00, -0.00, -0.00,  -39.00, -0.00, -1617.71, 2602.46, 2608.52, -0.04, 2608.52, 139.74, 139.74, 0.00, 1
36000, 3.60, 100.00, 6.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00,  -1.00, 0.00, 981.00, 386.37, 381.47, 380.95, -20.10, 29.34, 1.55, 29.30, 0
162591, 16.26, 100.00, 6.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00,  -3.00, 0.00, 981.00, 381.98, 377.10, 376.59, -19.61, 29.01, 1.51, 28.97, 0
1000000, 100.00, 100.00, 6.00, 0.79, 1.48, 0.00, 0.00, 5.00, 0.00, -0.00, -0.00,  -5.00, -0.00, 941.04, 40.14, 49.77, -0.00, 49.77, 3.83, 3.83, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 0.00, 7.00, 0.00, -0.00, -0.00,  -7.00, -0.00, 893.27, 88.05, 97.54, -0.00, 97.54, 7.50, 7.50, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 0.00, 9.00, 0.00, -0.00, -0.00,  -9.00, -0.00, 829.57, 151.94, 161.24, -0.00, 161.24, 12.40, 12.40, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 0.00, 11.00, 0.00, -0.00, -0.00,  -11.00, -0.00, 749.94, 231.80, 240.87, -0.00, 240.87, 18.53, 18.53, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, -0.00, 13.00, 0.00, -0.00, -0.00,  -13.00, -0.00, 654.39, 327.63, 336.42, -0.00, 336.42, 25.88, 25.88, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 0.00, 15.00, 0.00, -0.00, -0.00,  -15.00, -0.00, 542.92, 439.43, 447.89, -0.00, 447.89, 34.45, 34.45, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 0.00, 17.00, 0.00, -0.00, -0.00,  -17.00, -0.00, 415.52, 567.21, 575.29, -0.00, 575.29, 44.25, 44.25, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, -0.00, 19.00, 0.00, -0.00, -0.00,  -19.00, -0.00, 272.19, 710.96, 718.62, -0.00, 718.62, 55.28, 55.28, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 0.57, 21.00, 0.00, 0.57, -0.00,  -20.43, -0.00, 159.80, 823.68, 831.01, -0.00, 831.01, 63.92, 63.92, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 2.57, 23.00, 0.00, 2.57, -0.00,  -20.43, -0.00, 159.80, 823.68, 831.01, -0.00, 831.01, 63.92, 63.92, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 4.57, 25.00, 0.00, 4.57, -0.00,  -20.43, -0.00, 159.80, 823.69, 831.01, -0.00, 831.01, 63.92, 63.92, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 6.57, 27.00, 0.00, 6.57, -0.00,  -20.43, -0.00, 159.80, 823.69, 831.01, -0.01, 831.01, 63.92, 63.92, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 8.57, 29.00, 0.00, 8.57, -0.00,  -20.43, -0.00, 159.79, 823.69, 831.02, -0.01, 831.02, 63.92, 63.92, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 10.57, 31.00, 0.00, 10.57, -0.00,  -20.43, -0.00, 159.79, 823.69, 831.02, -0.01, 831.02, 63.92, 63.92, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 12.57, 33.00, 0.00, 12.57, -0.00,  -20.43, -0.00, 159.79, 823.70, 831.02, -0.01, 831.02, 63.92, 63.92, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 14.57, 35.00, 0.00, 14.57, -0.00,  -20.43, -0.00, 159.78, 823.70, 831.03, -0.01, 831.03, 63.93, 63.93, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, 16.57, 37.00, 0.00, 16.57, -0.00,  -20.43, -0.00, 159.78, 823.71, 831.03, -0.01, 831.03, 63.93, 63.93, 0.00, 1
1000000, 100.00, 100.00, 6.00, 0.79, 1.49, 0.00, -0.00, 39.00, 0.00, -0.00, -0.00,  -39.00, -0.00, -2036.94, 3026.91, 3027.74, -0.02, 3027.74, 232.90, 232.90, 0.00, 1
38368, 3.84, 100.00, 8.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00,  -1.00, 0.00, 980.99, 386.83, 382.09, 381.27, -25.11, 34.74, 2.28, 34.66, 0
188704, 18.87, 100.00, 8.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00,  -3.00, 0.00, 980.99, 386.64, 381.90, 381.08, -25.05, 34.72, 2.28, 34.64, 0
1000000, 100.00, 100.00, 8.00, 0.79, 1.46, 0.00, -0.00, 5.00, 0.00, -0.00, -0.00,  -5.00, -0.00, 931.86, 49.43, 58.95, -0.00, 58.95, 5.36, 5.36, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.47, 0.00, -0.00, 7.00, 0.00, -0.00, -0.00,  -7.00, -0.00, 875.26, 106.26, 115.55, -0.00, 115.55, 10.50, 10.50, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.48, 0.00, -0.00, 9.00, 0.00, -0.00, -0.00,  -9.00, -0.00, 799.80, 182.03, 191.01, -0.00, 191.01, 17.36, 17.36, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.48, 0.00, -0.00, 11.00, 0.00, -0.00, -0.00,  -11.00, -0.00, 705.48, 276.74, 285.33, -0.00, 285.33, 25.94, 25.94, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.48, 0.00, 0.00, 13.00, 0.00, -0.00, -0.00,  -13.00, -0.00, 592.29, 390.40, 398.52, -0.00, 398.52, 36.23, 36.23, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.48, 0.00, 0.00, 15.00, 0.00, -0.00, -0.00,  -15.00, -0.00, 460.23, 523.00, 530.58, -0.00, 530.58, 48.23, 48.23, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.48, 0.00, 0.00, 17.00, 0.00, -0.00, -0.00,  -17.00, -0.00, 309.31, 674.54, 681.50, -0.00, 681.50, 61.95, 61.95, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.48, 0.00, 0.50, 19.00, 0.00, 0.50, -0.00,  -18.50, -0.00, 183.48, 800.89, 807.33, -0.00, 807.33, 73.39, 73.39, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.48, 0.00, 2.50, 21.00, 0.00, 2.50, -0.00,  -18.50, -0.00, 183.48, 800.89, 807.33, -0.00, 807.33, 73.39, 73.39, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.48, 0.00, 4.50, 23.00, 0.00, 4.50, -0.00,  -18.50, -0.00, 183.48, 800.89, 807.33, -0.00, 807.33, 73.39, 73.39, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.48, 0.00, 6.50, 25.00, 0.00, 6.50, -0.00,  -18.50, -0.00, 183.48, 800.89, 807.33, -0.00, 807.33, 73.39, 73.39, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.48, 0.00, 8.50, 27.00, 0.00, 8.50, -0.00,  -18.50, -0.00, 183.47, 800.90, 807.34, -0.00, 807.34, 73.39, 73.39, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.48, 0.00, 10.50, 29.00, 0.00, 10.50, -0.00,  -18.50, -0.00, 183.47, 800.90, 807.34, -0.01, 807.34, 73.39, 73.39, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.48, 0.00, 12.50, 31.00, 0.00, 12.50, -0.00,  -18.50, -0.00, 183.47, 800.90, 807.34, -0.01, 807.34, 73.39, 73.39, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.48, 0.00, 14.50, 33.00, 0.00, 14.50, -0.00,  -18.50, -0.00, 183.47, 800.90, 807.34, -0.01, 807.34, 73.39, 73.39, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.48, 0.00, 16.50, 35.00, 0.00, 16.50, -0.00,  -18.50, -0.00, 183.46, 800.91, 807.35, -0.01, 807.35, 73.40, 73.40, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.48, 0.00, 18.50, 37.00, 0.00, 18.50, -0.00,  -18.50, -0.00, 183.46, 800.91, 807.35, -0.01, 807.35, 73.40, 73.40, 0.00, 1
1000000, 100.00, 100.00, 8.00, 0.79, 1.48, 0.00, 20.50, 39.00, 0.00, 20.50, -0.00,  -18.50, -0.00, 183.46, 800.91, 807.35, -0.01, 807.35, 73.40, 73.40, 0.00, 1
41305, 4.13, 100.00, 10.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00,  -1.00, 0.00, 981.00, 373.77, 368.77, 367.51, -30.42, 40.47, 3.34, 40.34, 0
1000000, 100.00, 100.00, 10.00, 0.79, 1.38, 0.00, -0.00, 3.00, 0.00, 0.00, -0.00,  -3.00, -0.00, 968.21, 13.03, 22.60, -0.00, 22.60, 2.48, 2.48, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.44, 0.00, -0.00, 5.00, 0.00, -0.00, -0.00,  -5.00, -0.00, 928.03, 53.42, 62.78, -0.00, 62.78, 6.89, 6.89, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.45, 0.00, 0.00, 7.00, 0.00, -0.00, -0.00,  -7.00, -0.00, 867.76, 114.04, 123.05, -0.00, 123.05, 13.51, 13.51, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.46, 0.00, 0.00, 9.00, 0.00, -0.00, -0.00,  -9.00, -0.00, 787.40, 194.88, 203.41, -0.00, 203.41, 22.33, 22.33, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.46, 0.00, -0.00, 11.00, 0.00, -0.00, -0.00,  -11.00, -0.00, 686.95, 295.94, 303.86, -0.00, 303.86, 33.35, 33.35, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.46, 0.00, 0.00, 13.00, 0.00, -0.00, -0.00,  -13.00, -0.00, 566.41, 417.20, 424.40, -0.00, 424.40, 46.58, 46.58, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.46, 0.00, -0.00, 15.00, 0.00, -0.00, -0.00,  -15.00, -0.00, 425.78, 558.67, 565.03, -0.00, 565.03, 62.02, 62.02, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.46, 0.00, -0.00, 17.00, 0.00, -0.00, -0.00,  -17.00, -0.00, 265.06, 720.36, 725.75, -0.00, 725.75, 79.66, 79.66, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.46, 0.00, 1.40, 19.00, 0.00, 1.40, -0.00,  -17.60, -0.00, 213.33, 772.40, 777.48, -0.00, 777.48, 85.33, 85.33, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.46, 0.00, 3.40, 21.00, 0.00, 3.40, -0.00,  -17.60, -0.00, 213.33, 772.40, 777.48, -0.00, 777.48, 85.33, 85.33, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.46, 0.00, 5.40, 23.00, 0.00, 5.40, -0.00,  -17.60, -0.00, 213.33, 772.40, 777.48, -0.00, 777.48, 85.33, 85.33, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.46, 0.00, 7.40, 25.00, 0.00, 7.40, -0.00,  -17.60, -0.00, 213.33, 772.40, 777.48, -0.00, 777.48, 85.33, 85.33, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.46, 0.00, 9.40, 27.00, 0.00, 9.40, -0.00,  -17.60, -0.00, 213.33, 772.40, 777.48, -0.00, 777.48, 85.33, 85.33, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.46, 0.00, 11.40, 29.00, 0.00, 11.40, -0.00,  -17.60, -0.00, 213.32, 772.40, 777.48, -0.00, 777.48, 85.33, 85.33, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.46, 0.00, 13.40, 31.00, 0.00, 13.40, -0.00,  -17.60, -0.00, 213.32, 772.40, 777.49, -0.00, 777.49, 85.33, 85.33, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.46, 0.00, 15.40, 33.00, 0.00, 15.40, -0.00,  -17.60, -0.00, 213.32, 772.41, 777.49, -0.01, 777.49, 85.33, 85.33, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.46, 0.00, 17.40, 35.00, 0.00, 17.40, -0.00,  -17.60, -0.00, 213.32, 772.41, 777.49, -0.01, 777.49, 85.33, 85.33, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.46, 0.00, 19.40, 37.00, 0.00, 19.40, -0.00,  -17.60, -0.00, 213.32, 772.41, 777.49, -0.01, 777.49, 85.33, 85.33, 0.00, 1
1000000, 100.00, 100.00, 10.00, 0.79, 1.46, 0.00, 21.40, 39.00, 0.00, 21.40, -0.00,  -17.60, -0.00, 213.31, 772.41, 777.49, -0.01, 777.49, 85.33, 85.33, 0.00, 1
41997, 4.20, 100.00, 12.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00,  -1.00, 0.00, 980.99, 387.43, 382.45, 381.07, -32.45, 42.49, 3.61, 42.34, 0
1000000, 100.00, 100.00, 12.00, 0.79, 1.39, 0.00, -0.00, 3.00, 0.00, -0.00, -0.00,  -3.00, -0.00, 966.00, 15.25, 24.81, -0.00, 24.81, 2.76, 2.76, 0.00, 1
1000000, 100.00, 100.00, 12.00, 0.79, 1.44, 0.00, -0.00, 5.00, 0.00, -0.00, -0.00,  -5.00, -0.00, 921.90, 59.59, 68.91, -0.00, 68.91, 7.66, 7.66, 0.00, 1
1000000, 100.00, 100.00, 12.00, 0.79, 1.45, 0.00, -0.00, 7.00, 0.00, -0.00, -0.00,  -7.00, -0.00, 855.75, 126.14, 135.06, -0.00, 135.06, 15.01, 15.01, 0.00, 1
1000000, 100.00, 100.00, 12.00, 0.79, 1.46, 0.00, 0.00, 9.00, 0.00, -0.00, -0.00,  -9.00, -0.00, 767.55, 214.88, 223.26, -0.00, 223.26, 24.81, 24.81, 0.00, 1
1000000, 100.00, 100.00, 12.00, 0.79, 1.46, 0.00, 0.00, 11.00, 0.00, -0.00, -0.00,  -11.00, -0.00, 657.30, 325.81, 333.51, -0.00, 333.51, 37.06, 37.06, 0.00, 1
1000000, 100.00, 100.00, 12.00, 0.79, 1.46, 0.00, -0.00, 13.00, 0.00, -0.00, -0.00,  -13.00, -0.00, 525.00, 458.92, 465.81, -0.00, 465.81, 51.76, 51.76, 0.00, 1
1000000, 100.00, 100.00, 12.00, 0.79, 1.46, 0.00, 0.00, 15.00, 0.00, -0.00, -0.00,  -15.00, -0.00, 370.65, 614.22, 620.16, -0.00, 620.16, 68.91, 68.91, 0.00, 1
1000000, 100.00, 100.00, 12.00, 0.79, 1.46, 0.00, 0.23, 17.00, 0.00, 0.23, -0.00,  -16.77, -0.00, 215.39, 770.44, 775.42, -0.00, 775.42, 86.16, 86.16, 0.00, 1
1000000, 100.00, 100.00, 12.00, 0.79, 1.46, 0.00, 2.23, 19.00, 0.00, 2.23, -0.00,  -16.77, -0.00, 215.39, 770.44, 775.42, -0.00, 775.42, 86.16, 86.16, 0.00, 1
1000000, 100.00, 100.00, 12.00, 0.79, 1.46, 0.00, 4.23, 21.00, 0.00, 4.23, -0.00,  -16.77, -0.00, 215.39, 770.44, 775.42, -0.00, 775.42, 86.16, 86.16, 0.00, 1
1000000, 100.00, 100.00, 12.00, 0.79, 1.46, 0.00, 6.23, 23.00, 0.00, 6.23, -0.00,  -16.77, -0.00, 215.39, 770.44, 775.42, -0.00, 775.42, 86.16, 86.16, 0.00, 1
1000000, 100.00, 100.00, 12.00, 0.79, 1.46, 0.00, 8.23, 25.00, 0.00, 8.23, -0.00,  -16.77, -0.00, 215.39, 770.44, 775.42, -0.00, 775.42, 86.16, 86.16, 0.00, 1
